Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
慢性発作性片側頭痛	Chronic paroxysmal hemicrania
慢性硬化性唾液腺炎	Chronic sclerosing sialadenitis
慢性線維性甲状腺炎	Thyroiditis fibrous chronic
成長ホルモン欠乏症	Growth hormone deficiency
扁桃アブレーション	Tonsil ablation
抑制的薬物相互作用	Inhibitory drug interaction
抗うつ薬中断症候群	Antidepressant discontinuation syndrome
抗アンドロゲン療法	Antiandrogen therapy
抗エストロゲン療法	Antioestrogen therapy
抗プロラクチン療法	Antiprolactin therapy
抗リン脂質抗体陰性	Antiphospholipid antibodies negative
抗リン脂質抗体陽性	Antiphospholipid antibodies positive
抗利尿ホルモン異常	Antidiuretic hormone abnormality
抗好中球細胞質抗体	Antineutrophil cytoplasmic antibody
抗生物質関連大腸炎	Antibiotic associated colitis
抗血小板薬拮抗療法	Antiplatelet reversal therapy
抱合ビリルビン増加	Bilirubin conjugated increased
抱合ビリルビン正常	Bilirubin conjugated normal
抱合ビリルビン減少	Bilirubin conjugated decreased
抱合ビリルビン異常	Bilirubin conjugated abnormal
拡大根治的乳房切断	Extended radical mastectomy
持続性部分てんかん	Epilepsia partialis continua
持続的ウイルス反応	Sustained viral response
持続的血液透析濾過	Continuous haemodiafiltration
排尿筋の括約筋失調	Detrusor sphincter dyssynergia
播種性ノカルジア症	Disseminated nocardiosis
播種性単純ヘルペス	Disseminated herpes simplex
播種性皮膚線維腫症	Dermatofibrosis lenticularis disseminata
放射性シード局在化	Radioactive seed localisation
放射線による肺損傷	Pulmonary radiation injury
放射線照射部位感染	Radiation site infection
新生児くも膜下出血	Subarachnoid haemorrhage neonatal
新生児てんかん発作	Neonatal epileptic seizure
新生児の麻酔合併症	Anaesthetic complication neonatal
新生児カンジダ感染	Neonatal candida infection
新生児ジスキネジア	Dyskinesia neonatal
新生児副腎機能不全	Adrenal insufficiency neonatal
新生児副腎皮質不全	Adrenocortical insufficiency neonatal
新生児好中球減少症	Neutropenia neonatal
新生児封入体結膜炎	Inclusion conjunctivitis neonatal
新生児徐脈性不整脈	Neonatal bradyarrhythmia
新生児感染性乳腺炎	Neonatal infective mastitis
新生児淋菌性結膜炎	Conjunctivitis gonococcal neonatal
新生児甲状腺中毒症	Neonatal thyrotoxicosis
新生児白血球減少症	Leukopenia neonatal
新生児脳室周囲出血	Periventricular haemorrhage neonatal
新生児血小板減少症	Thrombocytopenia neonatal
新生児血栓性静脈炎	Thrombophlebitis neonatal
新生児赤血球増加症	Polycythaemia neonatorum
新生児重症筋無力症	Myasthenia gravis neonatal
新生児頻脈性不整脈	Neonatal tachyarrhythmia
新生児顆粒球減少症	Granulocytopenia neonatal
早期の大人への移行	Early adult transition
月経前不快気分障害	Premenstrual dysphoric disorder
期限切れの製品使用	Expired product administered
末梢動脈内膜剥離術	Peripheral endarterectomy
末梢神経超音波検査	Peripheral nerve ultrasound
末端部黒子様黒色腫	Acral lentiginous melanoma
杆状核好中球百分率	Band neutrophil percentage
棘突起間関節形成症	Interspinous osteoarthritis
植物ステロール濃度	Phytosterol level
横隔膜ヘルニア修復	Hernia diaphragmatic repair
正色素性正球性貧血	Normochromic normocytic anaemia
歯および顔面の異常	Dentofacial anomaly
歯科矯正装置使用者	Orthodontic appliance user
歯科補てつ物使用者	Dental prosthesis user
歯肉側鼓形空隙拡大	Open gingival embrasures
毛包性ムチン沈着症	Follicular mucinosis
毛様体筋麻痺性屈折	Cycloplegic refraction
毛細血管漏出症候群	Capillary leak syndrome
毛細血管脆弱性正常	Capillary fragility normal
毛細血管脆弱性異常	Capillary fragility abnormal
毛細血管脆弱性試験	Capillary fragility test
毛細血管透過性増加	Capillary permeability increased
毛細血管透過性正常	Capillary permeability normal
毛髪鼻指節骨症候群	Trichorhinophalangeal syndrome
気管支の良性新生物	Bronchial neoplasm benign
気管支ステント挿入	Bronchial stent insertion
気管支ステント除去	Bronchial stent removal
気管支ポリープ切除	Bronchial polypectomy
気管支内超音波検査	Endobronchial ultrasound
気管支肺胞洗浄検査	Bronchoalveolar lavage
水晶体フェザリング	Lens feathering
水晶体嚢膨張症候群	Capsular block syndrome
水晶体融解性緑内障	Phacolytic glaucoma
水疱性出血性口峡炎	Angina bullosa haemorrhagica
水疱性出血性皮膚症	Bullous haemorrhagic dermatosis
水痘帯状疱疹性肺炎	Varicella zoster pneumonia
水痘帯状疱疹性胃炎	Varicella zoster gastritis
水酸化カリウム処理	Potassium hydroxide preparation
治療的薬物配合禁忌	Drug therapeutic incompatibility
泌尿生殖器真菌感染	Urogenital infection fungal
泌尿生殖器細菌感染	Urogenital infection bacterial
流行性多発性関節炎	Epidemic polyarthritis
浸透圧性脱髄症候群	Osmotic demyelination syndrome
消化器の良性新生物	Benign gastrointestinal neoplasm
消化器神経内分泌癌	Gastrointestinal neuroendocrine carcinoma
消化管スキャン異常	Gastrointestinal scan abnormal
消化管ストーマ壊死	Gastrointestinal stoma necrosis
涙液機能不全症候群	Dysfunctional tear syndrome
淋菌性タイソン腺炎	Gonococcal tysonitis
深在性嚢胞性大腸炎	Colitis cystica profunda
溶血性尿毒症症候群	Haemolytic uraemic syndrome
滴下投与部位びらん	Instillation site erosion
滴下投与部位不快感	Instillation site discomfort
滴下投与部位内出血	Instillation site bruise
滴下投与部位刺激感	Instillation site irritation
滴下投与部位合併症	Instillation site complication
滴下投与部位小水疱	Instillation site vesicles
滴下投与部位蕁麻疹	Instillation site urticaria
炎症性乳頭状過形成	Inflammatory papillary hyperplasia
無胆汁色素尿性黄疸	Jaundice acholuric
熱傷部デブリドマン	Burn debridement
熱帯リーシュマニア	Leishmania tropica
熱帯性好酸球増加症	Tropical eosinophilia
熱帯性痙性不全麻痺	Tropical spastic paresis
特発性全般てんかん	Idiopathic generalised epilepsy
特発性好中球減少症	Idiopathic neutropenia
特発性細菌性腹膜炎	Spontaneous bacterial peritonitis
特発性部分てんかん	Idiopathic partial epilepsy
生物医学的写真撮影	Biomedical photography
産褥期乳汁分泌増加	Lactation puerperal increased
用量未調節薬の投与	Unadjusted dose administered
甲状腺の理学的検査	Physical thyroid examination
甲状腺ホルモン増加	Thyroid hormones increased
甲状腺ホルモン検査	Thyroid hormones test
甲状腺ホルモン減少	Thyroid hormones decreased
甲状腺中毒クリーゼ	Thyrotoxic crisis
甲状腺中毒性心筋症	Thyrotoxic cardiomyopathy
男性オルガズム障害	Male orgasmic disorder
異所性ホルモン分泌	Ectopic hormone secretion
癌遺伝子キャリアー	Cancer gene carrier
発作性中枢性無呼吸	Ictal central apnoea
発作性夜間呼吸困難	Dyspnoea paroxysmal nocturnal
発作性房室ブロック	Paroxysmal atrioventricular block
発熱性好中球減少症	Febrile neutropenia
発達性協調運動障害	Developmental coordination disorder
皮膚イトグモ刺咬症	Cutaneous loxoscelism
皮膚ジストロフィー	Skin dystrophy
皮膚ツルゴール低下	Skin turgor decreased
皮膚マラコプラキア	Cutaneous malacoplakia
皮膚内植込み物除去	Skin implant removal
皮膚病性リンパ節症	Dermatopathic lymphadenopathy
皮質手指領域脳卒中	Cortical hand stroke
直腸超音波検査正常	Rectal ultrasound normal
直腸超音波検査異常	Rectal ultrasound abnormal
真菌性壊死性筋膜炎	Necrotising fasciitis fungal
眼カナロプラスティ	Eye canaloplasty
眼サルコイドーシス	Ocular sarcoidosis
眼・下顎・顔症候群	Oculomandibulofacial syndrome
眼球外網膜芽細胞腫	Extraocular retinoblastoma
眼瞼ミオクローヌス	Eyelid myoclonus
眼鏡による視力矯正	Eyeglasses therapy
睡眠時無呼吸症候群	Sleep apnoea syndrome
短毛髪成長期症候群	Short anagen syndrome
石灰化線維性偽腫瘍	Calcifying fibrous pseudotumour
硝子体のフィブリン	Vitreous fibrin
硝子体黄斑界面異常	Vitreomacular interface abnormal
硬膜外テストドーズ	Epidural test dose
神経アブレーション	Therapeutic nerve ablation
神経伝達物質値変動	Neurotransmitter level altered
神経学的処置合併症	Neurological procedural complication
神経学的無視症候群	Neurologic neglect syndrome
神経筋ブロック拮抗	Neuromuscular blockade reversal
神経筋ブロック療法	Neuromuscular blocking therapy
神経筋ブロック遷延	Neuromuscular block prolonged
神経補綴装置埋込み	Neuroprosthesis implantation
神経障害性そう痒症	Neuropathic pruritus
穿孔性十二指腸潰瘍	Duodenal ulcer perforation
第２原発性悪性疾患	Second primary malignancy
筋サルコイドーシス	Muscular sarcoidosis
筋萎縮性側索硬化症	Amyotrophic lateral sclerosis
筋骨格系処置合併症	Musculoskeletal procedural complication
管腔臓器ミオパチー	Hollow visceral myopathy
粘着性血小板症候群	Sticky platelet syndrome
粘膜皮膚カンジダ症	Mucocutaneous candidiasis
精巣超音波検査正常	Ultrasound testes normal
精巣超音波検査異常	Ultrasound testes abnormal
精神医学的評価正常	Psychiatric evaluation normal
精神医学的評価異常	Psychiatric evaluation abnormal
精神的機能代償不全	Psychiatric decompensation
糖尿病性ぶどう膜炎	Diabetic uveitis
糖尿病性ケトーシス	Diabetic ketosis
糖尿病性大血管障害	Diabetic macroangiopathy
糖尿病性微小血管症	Diabetic microangiopathy
糖尿病性皮膚合併症	Diabetic complication dermal
糖尿病性胃不全麻痺	Diabetic gastroparesis
糖尿病性脂質異常症	Diabetic dyslipidaemia
糖尿病性高血糖昏睡	Diabetic hyperglycaemic coma
細気管支肺胞上皮癌	Bronchioloalveolar carcinoma
細網内皮症ウイルス	Reticuloendotheliosis virus
細線維性糸球体腎炎	Fibrillary glomerulonephritis
細菌性気管気管支炎	Tracheobronchitis bacterial
細菌性肛門直腸感染	Anorectal infection bacterial
組織球性髄様細網症	Histiocytic medullary reticulosis
経尿道的前立腺摘除	Transurethral prostatectomy
経皮的バルーン圧迫	Percutaneous balloon compression
経静脈胆嚢造影正常	Cholecystogram intravenous normal
経静脈胆嚢造影異常	Cholecystogram intravenous abnormal
経鼻胃管排液量正常	Nasogastric output normal
経鼻胃管排液量異常	Nasogastric output abnormal
経鼻胃管排液量高値	Nasogastric output high
結節性再生性過形成	Nodular regenerative hyperplasia
結節性変形性関節症	Nodal osteoarthritis
結節性硬化症複合体	Tuberous sclerosis complex
結腸内視鏡検査正常	Colonoscopy normal
結腸内視鏡検査異常	Colonoscopy abnormal
結腸切除後汎小腸炎	Postcolectomy panenteritis
結膜リンパ管拡張症	Conjunctival lymphangiectasia
結膜毛細血管拡張症	Conjunctival telangiectasia
絞扼性ヘルニア修復	Strangulated hernia repair
絞扼性大腿ヘルニア	Femoral hernia strangulated
絞扼性瘢痕ヘルニア	Strangulated incisional hernia
絞扼性裂孔ヘルニア	Hiatus hernia strangulated
絞扼性鼡径ヘルニア	Inguinal hernia strangulated
統合失調症の近親者	Schizophrenic relative
続発性性腺機能低下	Secondary hypogonadism
続発性血小板増加症	Secondary thrombocytosis
網膜ジストロフィー	Retinal dystrophy
網膜下高反射滲出液	Subretinal hyperreflective exudation
網膜血管周囲鞘形成	Retinal perivascular sheathing
網膜血管増殖性腫瘍	Vasoproliferative retinal tumour
線維形成性線維芽腫	Desmoplastic fibroblastoma
耳介側頭神経症候群	Auriculotemporal syndrome
耳管カテーテル挿入	Auditory tube catheterisation
肉芽腫性リンパ節炎	Granulomatous lymphadenitis
肛門クラミジア感染	Anal chlamydia infection
肛門括約筋不全麻痺	Paresis anal sphincter
肛門括約筋無緊張症	Anal sphincter atony
肛門直腸静脈瘤出血	Anorectal varices haemorrhage
肝アミロイドーシス	Hepatic amyloidosis
肝サルコイドーシス	Liver sarcoidosis
肝胆道スキャン正常	Hepatobiliary scan normal
肝胆道スキャン異常	Hepatobiliary scan abnormal
肝胆道系処置合併症	Hepatobiliary procedural complication
肩回旋筋腱板症候群	Rotator cuff syndrome
肺アミロイドーシス	Pulmonary amyloidosis
肺エキノコッカス症	Pulmonary echinococciasis
